Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Canarias;Santa Cruz de Tenerife;Palma, La;Renta neta media por persona;2018;9.867
Total Nacional;Canarias;Santa Cruz de Tenerife;Palma, La;Renta neta media por persona;2017;9.378
Total Nacional;Canarias;Santa Cruz de Tenerife;Palma, La;Renta neta media por persona;2016;8.849
Total Nacional;Canarias;Santa Cruz de Tenerife;Palma, La;Renta neta media por persona;2015;8.536
Total Nacional;Canarias;Santa Cruz de Tenerife;Tenerife;Renta neta media por persona;2023;13.288
Total Nacional;Canarias;Santa Cruz de Tenerife;Tenerife;Renta neta media por persona;2022;12.173
Total Nacional;Canarias;Santa Cruz de Tenerife;Tenerife;Renta neta media por persona;2021;11.199
Total Nacional;Canarias;Santa Cruz de Tenerife;Tenerife;Renta neta media por persona;2020;10.676
Total Nacional;Canarias;Santa Cruz de Tenerife;Tenerife;Renta neta media por persona;2019;10.799
Total Nacional;Canarias;Santa Cruz de Tenerife;Tenerife;Renta neta media por persona;2018;10.255
Total Nacional;Canarias;Santa Cruz de Tenerife;Tenerife;Renta neta media por persona;2017;9.763
Total Nacional;Canarias;Santa Cruz de Tenerife;Tenerife;Renta neta media por persona;2016;9.265
Total Nacional;Canarias;Santa Cruz de Tenerife;Tenerife;Renta neta media por persona;2015;9.112
Total Nacional;Cantabria;Cantabria;;Renta neta media por persona;2023;15.043
Total Nacional;Cantabria;Cantabria;;Renta neta media por persona;2022;14.211
Total Nacional;Cantabria;Cantabria;;Renta neta media por persona;2021;13.425
Total Nacional;Cantabria;Cantabria;;Renta neta media por persona;2020;12.865
Total Nacional;Cantabria;Cantabria;;Renta neta media por persona;2019;12.852
Total Nacional;Cantabria;Cantabria;;Renta neta media por persona;2018;12.389
Total Nacional;Cantabria;Cantabria;;Renta neta media por persona;2017;11.874
Total Nacional;Cantabria;Cantabria;;Renta neta media por persona;2016;11.503
Total Nacional;Cantabria;Cantabria;;Renta neta media por persona;2015;11.229
Total Nacional;Castilla y León;Ávila;;Renta neta media por persona;2023;13.602
Total Nacional;Castilla y León;Ávila;;Renta neta media por persona;2022;12.684
Total Nacional;Castilla y León;Ávila;;Renta neta media por persona;2021;12.123
Total Nacional;Castilla y León;Ávila;;Renta neta media por persona;2020;11.577
Total Nacional;Castilla y León;Ávila;;Renta neta media por persona;2019;11.322
Total Nacional;Castilla y León;Ávila;;Renta neta media por persona;2018;10.822
Total Nacional;Castilla y León;Ávila;;Renta neta media por persona;2017;10.291
Total Nacional;Castilla y León;Ávila;;Renta neta media por persona;2016;9.925
Total Nacional;Castilla y León;Ávila;;Renta neta media por persona;2015;9.745
Total Nacional;Castilla y León;Burgos;;Renta neta media por persona;2023;15.988
Total Nacional;Castilla y León;Burgos;;Renta neta media por persona;2022;15.017
Total Nacional;Castilla y León;Burgos;;Renta neta media por persona;2021;14.357
Total Nacional;Castilla y León;Burgos;;Renta neta media por persona;2020;13.777
Total Nacional;Castilla y León;Burgos;;Renta neta media por persona;2019;13.713
Total Nacional;Castilla y León;Burgos;;Renta neta media por persona;2018;13.316
Total Nacional;Castilla y León;Burgos;;Renta neta media por persona;2017;12.701
Total Nacional;Castilla y León;Burgos;;Renta neta media por persona;2016;12.375
Total Nacional;Castilla y León;Burgos;;Renta neta media por persona;2015;12.093
Total Nacional;Castilla y León;León;;Renta neta media por persona;2023;15.110
Total Nacional;Castilla y León;León;;Renta neta media por persona;2022;14.144
Total Nacional;Castilla y León;León;;Renta neta media por persona;2021;13.400
Total Nacional;Castilla y León;León;;Renta neta media por persona;2020;12.917
Total Nacional;Castilla y León;León;;Renta neta media por persona;2019;12.755
Total Nacional;Castilla y León;León;;Renta neta media por persona;2018;12.222
Total Nacional;Castilla y León;León;;Renta neta media por persona;2017;11.702
Total Nacional;Castilla y León;León;;Renta neta media por persona;2016;11.350
Total Nacional;Castilla y León;León;;Renta neta media por persona;2015;11.138
Total Nacional;Castilla y León;Palencia;;Renta neta media por persona;2023;15.147
Total Nacional;Castilla y León;Palencia;;Renta neta media por persona;2022;14.251
Total Nacional;Castilla y León;Palencia;;Renta neta media por persona;2021;13.624
Total Nacional;Castilla y León;Palencia;;Renta neta media por persona;2020;13.153
Total Nacional;Castilla y León;Palencia;;Renta neta media por persona;2019;13.010
Total Nacional;Castilla y León;Palencia;;Renta neta media por persona;2018;12.525
Total Nacional;Castilla y León;Palencia;;Renta neta media por persona;2017;12.024
Total Nacional;Castilla y León;Palencia;;Renta neta media por persona;2016;11.752
Total Nacional;Castilla y León;Palencia;;Renta neta media por persona;2015;11.392
Total Nacional;Castilla y León;Salamanca;;Renta neta media por persona;2023;14.583
Total Nacional;Castilla y León;Salamanca;;Renta neta media por persona;2022;13.610
Total Nacional;Castilla y León;Salamanca;;Renta neta media por persona;2021;12.920
Total Nacional;Castilla y León;Salamanca;;Renta neta media por persona;2020;12.355
Total Nacional;Castilla y León;Salamanca;;Renta neta media por persona;2019;12.240
Total Nacional;Castilla y León;Salamanca;;Renta neta media por persona;2018;11.762
Total Nacional;Castilla y León;Salamanca;;Renta neta media por persona;2017;11.278
Total Nacional;Castilla y León;Salamanca;;Renta neta media por persona;2016;10.926
Total Nacional;Castilla y León;Salamanca;;Renta neta media por persona;2015;10.667
Total Nacional;Castilla y León;Segovia;;Renta neta media por persona;2023;14.949
Total Nacional;Castilla y León;Segovia;;Renta neta media por persona;2022;13.956
