Municipio,num_bancos,poblacion,renta
torre alháquime,2,798.0,22.814
ubrique,1,16439.0,30.292
vejer de la frontera,7,12915.0,27.537
villaluenga del rosario,1,462.0,26.649
san josé del valle,2,4472.0,24.021
atzeneta del maestrat,3,1309.0,32.221
alcalà de xivert,7,7176.0,28.899
"alcora, l'",2,10581.0,35.817
almazora/almassora,11,,
barracas,1,195.0,32.745
betxí,2,5592.0,35.598
bejís,1,400.0,29.071
benicarló,5,29607.0,31.74
benicasim/benicàssim,1,,
benlloch,2,,
borriol,1,5945.0,40.309
borriana/burriana,9,36927.0,33.802
cabanes,3,3313.0,29.728
cabanes,3,3313.0,40.396
cabanes,3,978.0,29.728
cabanes,3,978.0,40.396
càlig,3,2048.0,30.217
canet lo roig,2,699.0,28.556
castellfort,1,190.0,35.319
castellón de la plana/castelló de la plana,43,,
catí,1,760.0,33.968
cervera del maestre,2,643.0,27.008
cinctorres,1,442.0,31.783
cirat,2,214.0,26.948
"coves de vinromà, les",2,1865.0,30.457
culla,2,493.0,27.178
chilches/xilxes,4,3094.0,30.952
forcall,1,477.0,33.502
lucena del cid,3,,
"llosa, la",1,1042.0,30.38
montanejos,1,643.0,26.003
navajas,1,846.0,29.262
nules,3,14062.0,33.665
onda,9,25817.0,34.731
oropesa del mar/orpesa,2,,
peníscola/peñíscola,1,8496.0,30.191
"pobla tornesa, la",1,1325.0,40.017
rossell,1,892.0,27.148
"salzadella, la",1,678.0,29.371
sant mateu,1,2004.0,33.117
san rafael del río,1,530.0,26.443
segorbe,2,9640.0,32.352
sierra engarcerán,2,1043.0,30.761
sueras/suera,1,,
todolella,1,147.0,31.171
torreblanca,4,5674.0,28.614
"torre d'en besora, la",1,163.0,30.563
"vall d'uixó, la",1,31884.0,33.242
vallibona,1,64.0,26.601
villafranca del cid/vilafranca,2,,
villahermosa del río,1,490.0,30.284
vila real,10,52505.0,37.032
vinaròs,4,30278.0,32.231
vistabella del maestrazgo,1,,
viver,2,1680.0,29.061
alquerías del niño perdido,3,,
abenójar,1,1324.0,27.524
albaladejo,4,1003.0,21.301
alcázar de san juan,3,31382.0,35.133
alcoba,1,567.0,29.588
almadén,6,4902.0,27.632
almagro,7,9049.0,30.554
almuradiel,1,752.0,27.493
arenas de san juan,2,1035.0,23.832
ballesteros de calatrava,2,361.0,26.66
bolaños de calatrava,6,12067.0,30.858
campo de criptana,8,12932.0,30.801
carrión de calatrava,2,3233.0,31.071
ciudad real,2,75909.0,38.73
"cortijos, los",1,847.0,27.029
cózar,1,899.0,22.487
daimiel,9,17645.0,30.235
granátula de calatrava,1,686.0,26.042
herencia,4,8459.0,28.275
horcajo de los montes,1,795.0,24.379
manzanares,1,17745.0,32.953
porzuna,3,3516.0,25.701
puertollano,10,45195.0,31.668
retuerta del bullaque,1,867.0,27.363
solana del pino,2,332.0,23.692
tomelloso,8,36523.0,28.68
torralba de calatrava,1,3075.0,27.547
valdepeñas,19,30617.0,31.139
villanueva de la fuente,3,1883.0,23.989
villanueva de los infantes,6,4785.0,28.739
villanueva de los infantes,6,4785.0,41.542
villanueva de los infantes,6,112.0,28.739
villanueva de los infantes,6,112.0,41.542
villanueva de san carlos,1,272.0,35.726
villarrubia de los ojos,1,9620.0,26.404
villarta de san juan,1,2698.0,26.836
viso del marqués,4,2081.0,25.35
ruidera,1,533.0,26.338
arenales de san gregorio,1,617.0,24.235
llanos del caudillo,1,657.0,32.298
adamuz,3,4091.0,25.918
almedinilla,1,2323.0,24.494
almodóvar del río,3,7981.0,26.621
añora,2,1503.0,31.809
belalcázar,2,3099.0,24.565
belmez,1,2818.0,27.695
bujalance,5,7134.0,26.514
cabra,8,20024.0,29.49
cañete de las torres,2,2806.0,26.01
carcabuey,3,2299.0,25.176
"carlota, la",7,14381.0,28.202
"carpio, el",2,4325.0,29.969
castro del río,4,7612.0,28.559
córdoba,87,322811.0,35.632
doña mencía,3,4478.0,27.797
dos torres,2,2365.0,27.013
encinas reales,2,2234.0,23.897
espejo,2,3177.0,28.426
espiel,1,2341.0,29.186
fernán núñez,6,9638.0,30.857
fuente la lancha,1,339.0,21.857
fuente palmera,7,9907.0,26.884
guadalcázar,2,1556.0,27.591
"guijo, el",1,346.0,30.379
hinojosa del duque,5,6563.0,26.437
hornachuelos,5,4390.0,26.487
iznájar,2,3739.0,23.45
lucena,5,43086.0,29.156
montalbán de córdoba,4,4435.0,27.49
montoro,6,9049.0,27.894
moriles,4,3643.0,24.58
obejo,1,2085.0,28.752
palma del río,12,20546.0,28.075
pedro abad,1,2817.0,27.146
posadas,6,7224.0,26.727
pozoblanco,10,16946.0,33.485
priego de córdoba,13,21826.0,25.6
"rambla, la",6,7438.0,29.245
rute,1,9765.0,25.716
san sebastián de los ballesteros,2,854.0,34.205
santaella,7,4655.0,28.244
santa eufemia,1,710.0,22.84
torrecampo,2,1000.0,26.206
"victoria, la",2,2335.0,28.111
villa del río,5,6863.0,28.031
villaharta,1,634.0,25.942
villanueva de córdoba,5,8381.0,26.123
villanueva del duque,3,1404.0,27.588
villanueva del rey,2,1014.0,23.426
villaralto,2,1075.0,23.958
villaviciosa de córdoba,2,3064.0,22.559
"viso, el",1,2511.0,26.196
zuheros,2,608.0,26.772
abegondo,1,5578.0,38.226
ames,11,32812.0,38.343
ares,2,6156.0,34.47
arteixo,1,34038.0,35.108
arzúa,3,5887.0,33.388
"baña, a",1,3291.0,36.148
bergondo,3,6986.0,43.94
betanzos,6,13261.0,33.568
boimorto,3,1801.0,31.496
boiro,8,19018.0,34.194
boqueixón,1,4200.0,38.59
brión,1,8197.0,39.5
cabana de bergantiños,1,4098.0,34.239
camariñas,6,5098.0,27.748
cambre,10,24781.0,38.161
"capela, a",1,1182.0,38.972
carnota,3,3800.0,29.587
carral,6,6775.0,36.693
cedeira,7,6548.0,28.528
cee,4,7740.0,31.996
cerceda,2,5085.0,38.915
cerdido,2,1004.0,26.622
cesuras,1,,
coristanco,3,5744.0,32.737
"coruña, a",148,249261.0,39.802
culleredo,7,31085.0,36.836
curtis,3,4181.0,33.288
dumbría,1,2776.0,39.455
fene,3,12530.0,34.364
ferrol,28,64218.0,32.592
fisterra,5,4704.0,28.808
frades,2,2163.0,39.201
irixoa,2,1326.0,32.168
"laracha, a",4,11603.0,34.416
malpica de bergantiños,3,5267.0,29.365
mañón,1,1223.0,28.608
mazaricos,3,3719.0,38.333
melide,4,7734.0,29.866
mesía,2,2383.0,35.001
miño,4,6946.0,36.413
moeche,2,1200.0,29.697
monfero,1,1818.0,34.569
mugardos,3,5195.0,32.92
muxía,3,4380.0,30.076
muros,7,8184.0,31.037
narón,14,39285.0,32.992
neda,1,4868.0,32.65
