id,amenity,atm,brand,name,coordinates
node/328973406,bank,,Banco Sabadell,Banco Sabadell,"[-3.7234981, 40.3506336]"
way/331199966,bank,,Banco Santander,Banco Santander,"[3.209535, 39.5688873]"
way/335256204,bank,,Bankinter,Bankinter,"[-0.7609927, 41.6400851]"
way/335256217,bank,,Banco Sabadell,Banco Sabadell,"[-0.7609001, 41.6401449]"
way/335906186,bank,yes,Ibercaja,IberCaja,"[-2.2057669, 41.0484849]"
way/337411951,bank,,,Caja Castilla La Mancha,"[-4.4381438, 39.9422307]"
way/337411952,bank,,Caja Rural,Caja Rural,"[-4.4384842, 39.9437706]"
way/338582908,bank,yes,Abanca,Abanca,"[-8.5119819, 42.9095533]"
node/340833877,bank,yes,BBVA,BBVA,"[-3.6862626, 40.4676518]"
way/342944610,bank,no,Caixabank,Caixabank,"[1.4123096, 38.9050347]"
way/344169032,bank,yes,Banco Pichincha,Banco Pichincha Retiro,"[-3.6856456, 40.4210163]"
node/344409239,atm,,,,"[-4.5397374, 36.5991716]"
node/344560199,bank,yes,Banco Santander,Banco Santander,"[-3.6960063, 40.4642212]"
node/344791917,bank,,Banco Santander,Banco Santander,"[-3.7040126, 40.4769179]"
node/344791954,bank,,Caixabank,Caixabank,"[-3.7038603, 40.4765311]"
node/344793715,bank,yes,Caixabank,Caixabank,"[-3.7248907, 40.4130805]"
node/344795234,bank,,Caixabank,Caixabank,"[-3.7075164, 40.4318226]"
node/344795316,bank,,Caixabank,Caixabank,"[-3.7075343, 40.4316439]"
node/344795461,bank,,Banco Santander,Banco Santander,"[-3.6914943, 40.4339356]"
node/347400493,bank,,,Agencia Financiera Grupa Arquia Banca,"[-0.0782278, 40.3266366]"
node/347468250,bank,,Banco Santander,Banco Santander,"[-3.7202664, 40.4294965]"
node/348770554,bank,yes,,Correos,"[-2.4698816, 41.7645167]"
node/348770576,bank,yes,,Caja Rural de Soria,"[-2.4685047, 41.7640897]"
node/348770584,bank,yes,BBVA,BBVA,"[-2.4685062, 41.7642542]"
node/348770591,bank,yes,Banco Sabadell,Banco Sabadell,"[-2.4684435, 41.7645959]"
node/348772645,bank,yes,Banco Santander,Banco Santander,"[-2.4675939, 41.7642282]"
node/348772655,bank,yes,Ibercaja,Ibercaja,"[-2.4673739, 41.7641469]"
node/348772666,bank,yes,Banco Santander,Banco Santander,"[-2.4673409, 41.7642267]"
way/349204178,atm,,,,"[-0.2714342, 38.6087103]"
node/350443543,bank,,Banco Sabadell,Banco Sabadell,"[1.6390966, 41.5739502]"
node/350443552,bank,,BBVA,BBVA,"[1.6393693, 41.574056]"
node/350443768,bank,,BBVA,BBVA,"[1.6080706, 41.575015]"
node/350443774,bank,,Caixabank,Caixabank,"[1.6081428, 41.5747534]"
node/350443781,bank,,,Caixa Penedès,"[1.6087141, 41.5740822]"
node/350443800,bank,,Banco Santander,Banco Santander,"[1.6079708, 41.5756831]"
node/350443822,bank,,Caixabank,Caixabank,"[1.6078597, 41.5768772]"
node/351416762,bank,yes,Laboral Kutxa,Laboral Kutxa,"[-1.6171376, 42.8252735]"
node/351417047,bank,yes,BBVA,BBVA,"[-1.6162368, 42.8252331]"
node/351417208,bank,,,Sabdell Atlantico,"[-1.6169734, 42.8254227]"
node/353130875,bank,,Unicaja Banco,Unicaja Banco,"[-3.6973765, 40.5029638]"
node/353130880,bank,,Banco Sabadell,Banco Sabadell,"[-3.6985113, 40.5033671]"
node/353131034,bank,yes,Banco Santander,Banco Santander,"[-3.6959973, 40.5062887]"
node/353131036,bank,,Caixabank,Caixabank,"[-3.6945634, 40.5068377]"
node/353131761,bank,,BBVA,BBVA,"[-3.6952136, 40.5060876]"
node/353131768,bank,,Ibercaja,Ibercaja,"[-3.6927917, 40.5089341]"
node/353211002,bank,yes,Caja Rural,Caja Rural,"[-1.6558247, 42.8077924]"
node/354572610,bank,yes,Unicaja Banco,Unicaja Banco,"[-2.4807693, 41.7672844]"
node/354572620,bank,,Caja Rural,Caja Rural,"[-2.4868139, 41.7707334]"
node/354601836,bank,yes,Unicaja Banco,Unicaja Banco,"[-2.4697535, 41.7602874]"
