Municipios,Total
Sant Llorenç Savall,37.826
Sant Martí de Centelles,38.437
Sant Martí d'Albars,51.793
Sant Martí de Tous,46.684
Sant Martí Sarroca,40.72
Sant Martí Sesgueioles,40.224
Sant Mateu de Bages,42.935
Premià de Dalt,57.119
Sant Pere de Ribes,41.892
Sant Pere de Riudebitlles,40.729
Sant Pere de Torelló,41.616
Sant Pere de Vilamajor,47.116
Sant Pol de Mar,47.301
Sant Quintí de Mediona,36.161
Sant Quirze de Besora,40.215
Sant Quirze del Vallès,62.048
Sant Quirze Safaja,53.632
Sant Sadurní d'Anoia,46.009
Sant Sadurní d'Osormort,
Marganell,34.85
Santa Cecília de Voltregà,66.585
Santa Coloma de Cervelló,52.238
Santa Coloma de Gramenet,34.161
Santa Eugènia de Berga,42.375
Santa Eulàlia de Riuprimer,45.769
Santa Eulàlia de Ronçana,47.38
Santa Fe del Penedès,48.584
Santa Margarida de Montbui,34.014
Santa Margarida i els Monjos,38.226
Barberà del Vallès,43.314
Santa Maria de Besora,32.907
"Esquirol, L'",42.17
Santa Maria de Merlès,60.699
Santa Maria de Martorelles,49.907
Santa Maria de Miralles,40.709
Santa Maria d'Oló,38.69
Santa Maria de Palautordera,44.311
Santa Perpètua de Mogoda,43.064
Santa Susanna,43.796
Sant Vicenç de Castellet,36.506
Sant Vicenç dels Horts,42.529
Sant Vicenç de Montalt,66.063
Sant Vicenç de Torelló,45.689
Cerdanyola del Vallès,46.621
Sentmenat,45.279
Cercs,34.696
Seva,49.171
Sitges,51.676
Sobremunt,
Sora,42.406
Subirats,44.38
Súria,40.971
Tavèrnoles,60.281
Tagamanent,44.671
Talamanca,36.455
Taradell,47.293
Terrassa,40.058
Tavertet,41.279
Teià,65.106
Tiana,65.678
Tona,45.653
Tordera,35.762
Torelló,41.645
"Torre de Claramunt, La",39.4
Torrelavit,46.601
